Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Shoppers Value,Willow Grove,Main Street Bakery,Primary Store,Status
"Suddenly Salad, Classic",2.8,All Groceries,Pasta,"Shelf, Stable",Betty Crocker,7.5 oz,"Suddenly Salad, Classic",/wp-content/uploads/2017/04/Betty-Crocker-Suddenly-Pasta-Salad-Classic.jpg,2.33,,,Shoppers Value,Published
"Suddenly Salad, Creamy Italian",2.8,All Groceries,Pasta,"Shelf, Stable",Betty Crocker,7.5 oz,"Suddenly Salad, Creamy Italian",/wp-content/uploads/2017/04/Betty-Crocker-Suddenly-Pasta-Salad-Caesar.jpg,2.33,,,Shoppers Value,Published
Jumbo Shells,2.59,All Groceries,Pasta,"Shelf, Stable",Mueller's ,12 oz,"Shells, Jumbo",/wp-content/uploads/2017/04/Muellers-Jumbo-Macaroni-Shells.jpg,2.16,,,Shoppers Value,Published
Sea Shells,2.14,All Groceries,Pasta,"Shelf, Stable",Mueller's ,16 oz,"Shells, small sea",/wp-content/uploads/2017/04/Muellers-Small-Sea-Shells-Macaroni.jpg,1.78,,,Shoppers Value,Published
Homestyle Baked Beans,2.76,All Groceries,Canned,"Shelf, Stable",Bush's,28 oz,"Baked Beans, Bush's Best, Homestyle",/wp-content/uploads/2017/04/Bushs-Homestyle-Baked-Beans-28oz.jpg,2.3,,,Shoppers Value,Published
Vegetarian Baked Beans,2.76,All Groceries,Canned,"Shelf, Stable",Bush's,28 oz,"Baked Beans, Bush's Best, Vegetarian",/wp-content/uploads/2017/04/Bushs-vegetarian-baked-beans.jpg,2.3,,,Shoppers Value,Published
Vegetable Oil,2.32,All Groceries,"Other, Condiments","Shelf, Stable",Crisco,16 oz,"Oil, Vegetable",/wp-content/uploads/2017/04/Crisco-Vegetable-Oil.jpg,1.93,,,Shoppers Value,Published
Olive Oil,4.49,All Groceries,"Other, Condiments","Shelf, Stable",Store Brand,17 oz,"Oil, Olive, Extra Virgin",/wp-content/uploads/2017/04/Essential-Everyday-Extra-Virgin-Olive-Oil.jpg,3.74,,,Shoppers Value,Published
Coffee Filters,1.4,All Groceries,Kitchen Ware,"Shelf, Stable",Store Brand,100 ct,"Filters, Coffee, 8-12 Cup",/wp-content/uploads/2017/04/Coffee-Filters.jpg,1.17,,,Shoppers Value,Published
Salt & Pepper,1.81,All Groceries,Condiments,"Shelf, Stable",Store Brand,5 oz total,Salt & Pepper Combo,/wp-content/uploads/2017/04/Essental-Everyday-Iodized-Salt-&-Pepper-Set.jpg,1.51,,,Shoppers Value,Published
"Pepperoni Pizza, Thin Crust",5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, Pepperoni, Thin Crust",/wp-content/uploads/2017/04/Culinary-Circle-Ultra-Thin-Crust-Pepperoni-Pizza.jpg,4.52,,,Shoppers Value,Published
"Pepperoni Pizza, Rising Crust",5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, Pepperoni, Rising Crust",/wp-content/uploads/2017/04/Culinary-Circle-Rising-Crust-Pepperoni-Pizza.jpg,4.52,,,Shoppers Value,Published
"Supreme Pizza, Thin Crust",5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, Supreme, Thin Crust",/wp-content/uploads/2017/04/Culinary-Circle-Ultra-Thin-Crust-Supreme-Pizza.jpg,4.52,,,Shoppers Value,Published
"Supreme Pizza, Rising Crust",5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, Supreme, Rising Crust",/wp-content/uploads/2017/04/Culinary-Circle-Rising-Crust-Supreme-Pizza.jpg,4.52,,,Shoppers Value,Published
"Cheese Pizza, Rising Crust",5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, Cheese, Rising Crust",/wp-content/uploads/2017/04/Culinary-Circle-Rising-Crust-5-Cheese-Pizza.jpg,4.52,,,Shoppers Value,Published
Pepperoni Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, Pepperoni",/wp-content/uploads/2017/04/Tombstone-Original-Pepperoni-Pizza.jpg,4.38,,,Shoppers Value,Published
4 Meat Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, 4 Meat",/wp-content/uploads/2017/04/Tombstone-Original-4-Meat-Pizza.jpg,4.38,,,Shoppers Value,Published
Supreme Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, Supreme",/wp-content/uploads/2017/04/Tombstone-Original-Supreme-Pizza.jpg,4.38,,,Shoppers Value,Published
Cheese Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, Cheese",/wp-content/uploads/2017/04/Tombstone-Original-5-Cheese-Pizza.jpg,4.38,,,Shoppers Value,Published
Chicken Nuggets,5.24,All Groceries,"Quick Foods, Meat",Freezer,Banquet,24 oz,Chicken Breast Nuggets,/wp-content/uploads/2017/04/Banquet-Chicken-Breast-Nuggets.jpg,4.37,,,Shoppers Value,Published
Chicken Breast Strips,5.24,All Groceries,"Quick Foods, Meat",Freezer,Banquet,24 oz,Chicken Breast Strips,/wp-content/uploads/2017/04/Banquet-Chicken-Breast-Strips.jpg,4.37,,,Shoppers Value,Published
French Fries,4.09,All Groceries,Quick Foods,Freezer,Ore Ida,32 oz,"Fries, Golden",/wp-content/uploads/2017/04/Ore-Ida-Golden-Fries-French-Fried-Potatoes.jpg,3.41,,,Shoppers Value,Published
Crinkle Cut Fries,4.09,All Groceries,Quick Foods,Freezer,Ore Ida,32 oz,"Fries, Crinkle Cut",/wp-content/uploads/2017/04/Ore-Ida-Golden-Crinkles-French-Fried-Potatoes.jpg,3.41,,,Shoppers Value,Published
Eggo Waffles,3.18,All Groceries,Quick Foods,Freezer,Eggo,10 count,"Waffles, Frozen",/wp-content/uploads/2017/04/Kelloggs-Eggo-Homestyle-10-Waffles.jpg,2.65,,,Shoppers Value,Published
Frozen Waffles,1.62,All Groceries,Quick Foods,Freezer,Store Brand,10 count,"Waffles, Frozen",/wp-content/uploads/2017/04/Waffles-Store-Brand.jpg,1.35,,,Shoppers Value,Published
Scallops,22.8,All Groceries,"Meat, Seafood, Willow Grove Farm Market",Freezer,Willow Grove,"1 lb, aprox",Scallops,/wp-content/uploads/2017/04/Willow-Grove-Farm-Market-Scallops.jpg,,19,,Willow Grove,Published
Shrimp,16.8,All Groceries,"Meat, Seafood, Willow Grove Farm Market",Freezer,Willow Grove,"1 lb, aprox","Shrimp, Gulf",/wp-content/uploads/2017/04/Willow-Grove-Farm-Market-Gulf-Shrimp.jpg,,14,,Willow Grove,Published
Breakfast Ham Slices,8.99,All Groceries,meat,Refrigerated,Kite's ,"1 lb, aprox","Ham, Virginia, Breakfast Slices",/wp-content/uploads/2017/04/Willow-Grove-Virginia-Cured-Ham-Breakfast-Slices.jpg,,7.49,,Willow Grove,Published
Pork Sausage,6.54,All Groceries,meat,Refrigerated,Gore's,1 lb,"Pork, Sausage, Bulk",/wp-content/uploads/2017/04/Willow-Grove-Farm-Market-Pork-Sausage.jpg,,5.45,,Willow Grove,Published
"Whole Milk, Non-Homogenized",5.99,All Groceries,Dairy,Refrigerated,Mt. Crawford Creamery,gallon,"Milk, Whole, Pasteurized Non-Homogenized, Creamilne",/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,4.99,,Willow Grove,Published
"Whole Milk, Non-Homogenized",4.79,All Groceries,Dairy,Refrigerated,Mt. Crawford Creamery,1/2 gal,"Milk, Whole, Pasteurized Non-Homogenized, Creamilne",/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,3.99,,Willow Grove,Published
"2% Milk, Non-Homogenized",5.99,All Groceries,Dairy,Refrigerated,Mt. Crawford Creamery,gallon,"Milk, 2%, Pasteurized Non-Homogenized, Creamilne",/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,4.99,,Willow Grove,Published
"2% Milk, Non-Homogenized",4.79,All Groceries,Dairy,Refrigerated,Mt. Crawford Creamery,1/2 gal,"Milk, 2%, Pasteurized Non-Homogenized, Creamilne",/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,3.99,,Willow Grove,Published
"Skim Milk, Non-Homogenized",5.99,All Groceries,Dairy,Refrigerated,Mt. Crawford Creamery,gallon,"Milk, Skim, Pasteurized Non-Homogenized, Creamline",/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,4.99,,Willow Grove,Published
"Skim Milk, Non-Homogenized",4.79,All Groceries,Dairy,Refrigerated,Mt. Crawford Creamery,1/2 gal,"Milk, Skim, Pasteurized Non-Homogenized, Creamline",/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,3.99,,Willow Grove,Published
